Saving slices...
Starting threads...
                                                
623.00B/682.07MB 	623.00B/s 	 13 days 06:53:09        
                                                
206.45KB/682.07MB 	205.84KB/s 	 00:56:32        
                                                
318.45KB/682.07MB 	112.00KB/s 	 01:43:53        
                                                
414.45KB/682.07MB 	96.00KB/s 	 02:01:11        
                                                
510.45KB/682.07MB 	96.00KB/s 	 02:01:10        
                                                
622.45KB/682.07MB 	112.00KB/s 	 01:43:50        
                                                
718.45KB/682.07MB 	96.00KB/s 	 02:01:07        
                                                
814.45KB/682.07MB 	96.00KB/s 	 02:01:06        
                                                
910.45KB/682.07MB 	96.00KB/s 	 02:01:05        
                                                
1022.45KB/682.07MB 	112.00KB/s 	 01:43:46        
                                                
1.09MB/682.07MB 	96.00KB/s 	 02:01:03        
                                                
1.19MB/682.07MB 	96.00KB/s 	 02:01:02        
                                                
1.28MB/682.07MB 	96.00KB/s 	 02:01:01        
                                                
1.39MB/682.07MB 	112.00KB/s 	 01:43:43        
                                                
1.48MB/682.07MB 	96.00KB/s 	 02:00:59        
                                                
1.58MB/682.07MB 	96.00KB/s 	 02:00:58        
                                                
1.67MB/682.07MB 	96.00KB/s 	 02:00:57        
                                                
1.78MB/682.07MB 	112.00KB/s 	 01:43:39        
                                                
1.87MB/682.07MB 	96.00KB/s 	 02:00:55        
                                                
1.97MB/682.07MB 	96.00KB/s 	 02:00:54        
                                                
2.06MB/682.07MB 	96.00KB/s 	 02:00:53        
                                                
2.17MB/682.07MB 	112.00KB/s 	 01:43:36        
                                                
2.26MB/682.07MB 	96.00KB/s 	 02:00:51        
                                                
2.36MB/682.07MB 	96.00KB/s 	 02:00:50        
                                                
2.45MB/682.07MB 	96.00KB/s 	 02:00:49        
                                                
2.56MB/682.07MB 	112.00KB/s 	 01:43:32        
                                                
2.65MB/682.07MB 	96.00KB/s 	 02:00:47        
                                                
2.75MB/682.07MB 	96.00KB/s 	 02:00:46        
                                                
2.86MB/682.07MB 	112.00KB/s 	 01:43:29        
                                                
2.95MB/682.07MB 	96.00KB/s 	 02:00:43        
                                                
3.05MB/682.07MB 	96.00KB/s 	 02:00:42        
                                                
3.14MB/682.07MB 	96.00KB/s 	 02:00:41        
                                                
3.25MB/682.07MB 	112.00KB/s 	 01:43:26        
                                                
3.34MB/682.07MB 	96.00KB/s 	 02:00:39        
                                                
3.44MB/682.07MB 	96.00KB/s 	 02:00:38        
                                                
3.53MB/682.07MB 	96.00KB/s 	 02:00:37        
                                                
3.64MB/682.07MB 	112.00KB/s 	 01:43:22        
                                                
3.73MB/682.07MB 	96.00KB/s 	 02:00:35        
                                                
3.83MB/682.07MB 	96.00KB/s 	 02:00:34        
                                                
3.92MB/682.07MB 	96.00KB/s 	 02:00:33        
                                                
4.03MB/682.07MB 	112.00KB/s 	 01:43:19        
                                                
4.12MB/682.07MB 	96.00KB/s 	 02:00:31        
                                                
4.22MB/682.07MB 	96.00KB/s 	 02:00:30        
                                                
4.31MB/682.07MB 	96.00KB/s 	 02:00:29        
                                                
4.42MB/682.07MB 	112.00KB/s 	 01:43:15        
                                                
4.51MB/682.07MB 	96.00KB/s 	 02:00:27        
                                                
4.61MB/682.07MB 	96.00KB/s 	 02:00:26        
                                                
4.70MB/682.07MB 	96.00KB/s 	 02:00:25        
                                                
4.81MB/682.07MB 	112.00KB/s 	 01:43:12        
                                                
