Saving slices...
Starting threads...
                                                
2.02KB/437.40MB 	2.02KB/s 	 2 days 13:32:45        
                                                
126.30KB/437.40MB 	124.28KB/s 	 01:00:02        
                                                
194.68KB/437.40MB 	68.38KB/s 	 01:49:07        
                                                
317.02KB/437.40MB 	122.34KB/s 	 01:00:58        
                                                
446.40KB/437.40MB 	129.38KB/s 	 00:57:38        
                                                
489.12KB/437.40MB 	42.72KB/s 	 02:54:33        
                                                
601.12KB/437.40MB 	112.00KB/s 	 01:06:33        
                                                
697.12KB/437.40MB 	96.00KB/s 	 01:17:38        
                                                
793.12KB/437.40MB 	96.00KB/s 	 01:17:37        
                                                
889.12KB/437.40MB 	96.00KB/s 	 01:17:36        
                                                
1001.12KB/437.40MB 	112.00KB/s 	 01:06:30        
                                                
1.07MB/437.40MB 	96.00KB/s 	 01:17:34        
                                                
1.17MB/437.40MB 	96.00KB/s 	 01:17:33        
                                                
1.26MB/437.40MB 	96.00KB/s 	 01:17:32        
                                                
1.37MB/437.40MB 	112.00KB/s 	 01:06:26        
                                                
1.46MB/437.40MB 	96.00KB/s 	 01:17:29        
                                                
1.56MB/437.40MB 	96.00KB/s 	 01:17:28        
                                                
1.67MB/437.40MB 	112.00KB/s 	 01:06:23        
                                                
1.76MB/437.40MB 	96.00KB/s 	 01:17:26        
                                                
1.85MB/437.40MB 	96.00KB/s 	 01:17:25        
                                                
1.95MB/437.40MB 	96.00KB/s 	 01:17:24        
                                                
2.06MB/437.40MB 	112.00KB/s 	 01:06:20        
                                                
2.15MB/437.40MB 	96.00KB/s 	 01:17:22        
                                                
2.24MB/437.40MB 	96.00KB/s 	 01:17:21        
                                                
2.34MB/437.40MB 	96.00KB/s 	 01:17:20        
                                                
2.45MB/437.40MB 	112.00KB/s 	 01:06:16        
                                                
2.54MB/437.40MB 	96.00KB/s 	 01:17:18        
                                                
2.63MB/437.40MB 	96.00KB/s 	 01:17:17        
                                                
2.73MB/437.40MB 	96.00KB/s 	 01:17:16        
                                                
2.84MB/437.40MB 	112.00KB/s 	 01:06:13        
                                                
2.93MB/437.40MB 	96.00KB/s 	 01:17:14        
                                                
3.02MB/437.40MB 	96.00KB/s 	 01:17:13        
                                                
3.12MB/437.40MB 	96.00KB/s 	 01:17:12        
                                                
3.23MB/437.40MB 	112.00KB/s 	 01:06:09        
                                                
3.32MB/437.40MB 	96.00KB/s 	 01:17:10        
                                                
3.42MB/437.40MB 	96.00KB/s 	 01:17:09        
                                                
3.51MB/437.40MB 	96.00KB/s 	 01:17:08        
                                                
3.62MB/437.40MB 	112.00KB/s 	 01:06:05        
                                                
3.71MB/437.40MB 	96.00KB/s 	 01:17:05        
                                                
3.81MB/437.40MB 	96.00KB/s 	 01:17:04        
                                                
3.92MB/437.40MB 	112.00KB/s 	 01:06:03        
                                                
4.01MB/437.40MB 	96.00KB/s 	 01:17:02        
                                                
4.10MB/437.40MB 	96.00KB/s 	 01:17:01        
                                                
4.20MB/437.40MB 	96.00KB/s 	 01:17:00        
                                                
4.31MB/437.40MB 	112.00KB/s 	 01:05:59        
                                                
4.40MB/437.40MB 	96.00KB/s 	 01:16:58        
                                                
4.49MB/437.40MB 	96.00KB/s 	 01:16:57        
                                                
4.59MB/437.40MB 	96.00KB/s 	 01:16:56        
                                                
4.70MB/437.40MB 	112.00KB/s 	 01:05:56        
                                                
