Saving slices...
Starting threads...
                                                
2.00KB/1.02GB 	2.00KB/s 	 6 days 04:58:12        
                                                
70.03KB/1.02GB 	68.03KB/s 	 04:23:08        
                                                
179.72KB/1.02GB 	109.69KB/s 	 02:43:11        
                                                
291.72KB/1.02GB 	112.00KB/s 	 02:39:48        
                                                
387.72KB/1.02GB 	96.00KB/s 	 03:06:25        
                                                
483.72KB/1.02GB 	96.00KB/s 	 03:06:24        
                                                
579.72KB/1.02GB 	96.00KB/s 	 03:06:23        
                                                
691.72KB/1.02GB 	112.00KB/s 	 02:39:44        
                                                
787.72KB/1.02GB 	96.00KB/s 	 03:06:20        
                                                
883.72KB/1.02GB 	96.00KB/s 	 03:06:19        
                                                
995.72KB/1.02GB 	112.00KB/s 	 02:39:41        
                                                
1.07MB/1.02GB 	96.00KB/s 	 03:06:17        
                                                
1.16MB/1.02GB 	96.00KB/s 	 03:06:16        
                                                
1.25MB/1.02GB 	96.00KB/s 	 03:06:15        
                                                
1.36MB/1.02GB 	112.00KB/s 	 02:39:38        
                                                
1.46MB/1.02GB 	96.00KB/s 	 03:06:13        
                                                
1.55MB/1.02GB 	96.00KB/s 	 03:06:12        
                                                
1.64MB/1.02GB 	96.00KB/s 	 03:06:11        
                                                
1.75MB/1.02GB 	112.00KB/s 	 02:39:34        
                                                
1.85MB/1.02GB 	96.00KB/s 	 03:06:09        
                                                
1.94MB/1.02GB 	96.00KB/s 	 03:06:08        
                                                
2.03MB/1.02GB 	96.00KB/s 	 03:06:07        
                                                
2.14MB/1.02GB 	112.00KB/s 	 02:39:31        
                                                
2.24MB/1.02GB 	96.00KB/s 	 03:06:05        
                                                
2.33MB/1.02GB 	96.00KB/s 	 03:06:04        
                                                
2.43MB/1.02GB 	96.00KB/s 	 03:06:03        
                                                
2.53MB/1.02GB 	112.00KB/s 	 02:39:27        
                                                
2.63MB/1.02GB 	96.00KB/s 	 03:06:01        
                                                
2.72MB/1.02GB 	96.00KB/s 	 03:06:00        
                                                
2.82MB/1.02GB 	96.00KB/s 	 03:05:59        
                                                
2.93MB/1.02GB 	112.00KB/s 	 02:39:23        
                                                
3.02MB/1.02GB 	96.00KB/s 	 03:05:56        
                                                
3.11MB/1.02GB 	96.00KB/s 	 03:05:55        
                                                
3.21MB/1.02GB 	96.00KB/s 	 03:05:54        
                                                
3.32MB/1.02GB 	112.00KB/s 	 02:39:20        
                                                
3.41MB/1.02GB 	96.00KB/s 	 03:05:52        
                                                
3.50MB/1.02GB 	96.00KB/s 	 03:05:51        
                                                
3.61MB/1.02GB 	112.00KB/s 	 02:39:17        
                                                
3.71MB/1.02GB 	96.00KB/s 	 03:05:49        
                                                
3.80MB/1.02GB 	96.00KB/s 	 03:05:48        
                                                
3.89MB/1.02GB 	96.00KB/s 	 03:05:47        
                                                
4.00MB/1.02GB 	112.00KB/s 	 02:39:14        
                                                
4.10MB/1.02GB 	96.00KB/s 	 03:05:45        
                                                
4.19MB/1.02GB 	96.00KB/s 	 03:05:44        
                                                
4.28MB/1.02GB 	96.00KB/s 	 03:05:43        
                                                
4.39MB/1.02GB 	112.00KB/s 	 02:39:10        
                                                
4.49MB/1.02GB 	96.00KB/s 	 03:05:41        
                                                
4.58MB/1.02GB 	96.00KB/s 	 03:05:40        
                                                
4.68MB/1.02GB 	96.00KB/s 	 03:05:39        
                                                
